IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:a0:a196:99e9:2ca4:c91a:545e,4,4,0.00,136.07,18.94
2606:4700:a0:a196:609d:d86:6ac9:7d1,4,4,0.00,136.00,18.77
2606:4700:a0:a196:609d:ea46:10f7:d635,4,4,0.00,136.01,18.43
2606:4700:a0::e33b:f986:4a85,4,4,0.00,136.08,17.97
2606:4700:a0:a196:609d:d0d:b69b:4987,4,4,0.00,135.78,17.92
2606:4700:a0:9e:f4d0:1aad:db32:86f5,4,4,0.00,135.55,17.92
2606:4700:a0:a196:99f0:1b80:115c:96e5,4,4,0.00,135.95,17.65
2606:4700:a0:a196:99f0:8a43:84fc:aab7,4,4,0.00,135.70,17.13
2606:4700:a0::be:d98b:90d4,4,4,0.00,135.93,17.12
2606:4700:a0:0:f065:3a87:6b55:ea9f,4,4,0.00,136.17,17.12
